gtin ,sku ,stock,(1) price before discount,(2) price after discount,collectionhours
4751043576360,000122-0022-M,0,39,19.9,72
4751043576384,000122-0022-L,0,39,19.9,72
4751043576407,000122-0022-XL,0,39,19.9,72
4751043576421,000122-0022-2XL,0,39,19.9,72
4751043576445,000122-0022-3XL,0,39,19.9,72
4751043576469,000122-0022-4XL,0,39,19.9,24
4751043575264,000107-0004-2XL,3,69,49.8,24
4751043575288,000107-0004-3XL,3,69,49.8,24
4751043575301,000107-0004-4XL,3,69,49.8,24
4751043575226,000107-0004-L,3,69,49.8,24
4751043575202,000107-0004-M,3,69,49.8,24
4751043575189,000107-0004-S,3,69,49.8,24
4751043575240,000107-0004-XL,0,69,49.8,72
4751043575165,000107-0004-XS,0,69,49.8,72
4751043575424,000107-0022-2XL,3,69,49.8,24
4751043575448,000107-0022-3XL,3,69,49.8,24
4751043575462,000107-0022-4XL,0,69,49.8,72
4751043575387,000107-0022-L,0,69,49.8,72
4751043575363,000107-0022-M,3,69,49.8,24
4751043575349,000107-0022-S,3,69,49.8,24
4751043575400,000107-0022-XL,3,69,49.8,24
4751043575325,000107-0022-XS,3,69,49.8,24
4751043575585,000107-0039-2XL,0,69,49.8,72
4751043575608,000107-0039-3XL,3,69,49.8,24
4751043575622,000107-0039-4XL,0,69,49.8,72
4751043575547,000107-0039-L,0,69,49.8,72
4751043575523,000107-0039-M,3,69,49.8,24
4751043575509,000107-0039-S,0,69,49.8,72
4751043575561,000107-0039-XL,0,69,49.8,72
4751043575486,000107-0039-XS,3,69,49.8,24
4751043575103,000106-0039-2XL,0,89,69,72
4751043575127,000106-0039-3XL,9,89,69,24
4751043575141,000106-0039-4XL,4,89,69,24
4751043575066,000106-0039-L,0,89,69,72
4751043575042,000106-0039-M,0,89,69,72
4751043575028,000106-0039-S,0,89,69,72
4751043575080,000106-0039-XL,0,89,69,72
4751043575004,000106-0039-XS,6,89,69,24
4751043574786,000106-0004-2XL,6,89,69,72
